주차,시작일,실제,예측,지속성,오차
1,2022-01-01,5.0,,,
2,2022-01-06,5.38,,,
3,2022-01-14,6.25,,,
4,2022-01-18,5.0,,,
5,2022-01-25,6.25,,,
6,2022-02-02,7.62,,,
7,2022-02-08,7.75,,,
8,2022-02-15,8.75,,,
9,2022-02-22,6.38,8.18,8.75,1.81
10,2022-03-03,7.5,6.61,6.38,0.89
11,2022-03-09,7.75,7.22,7.5,0.53
12,2022-03-15,5.0,7.35,7.75,2.35
13,2022-03-22,3.62,5.14,5.0,1.52
14,2022-03-30,4.75,3.87,3.62,0.88
15,2022-04-06,4.62,4.58,4.75,0.04
16,2022-04-13,5.12,4.5,4.62,0.63
17,2022-04-20,4.12,5.03,5.12,0.91
18,2022-04-27,4.88,4.68,4.12,0.2
19,2022-05-04,3.25,4.69,4.88,1.44
20,2022-05-11,1.62,3.18,3.25,1.56
21,2022-05-18,0.38,3.1,1.62,2.73
22,2022-05-25,0.75,0.85,0.38,0.1
23,2022-06-01,0.12,1.04,0.75,0.91
24,2022-06-07,0.75,0.5,0.12,0.25
25,2022-06-10,0.25,0.64,0.75,0.39
26,2022-06-17,1.0,0.36,0.25,0.64
27,2022-06-24,0.5,0.88,1.0,0.38
